iso3,month,capable_pct,preferred_pct,samples
ARM,2015-01,0.18,0.0,563
ARM,2015-02,0.0,0.0,42958
ARM,2015-03,0.01,0.01,32868
ARM,2015-04,0.01,0.01,75269
ARM,2015-05,0.04,0.02,90337
ARM,2015-06,1.53,0.02,148998
ARM,2015-07,2.39,0.03,234666
ARM,2015-08,2.18,0.04,170696
ARM,2015-09,0.11,0.01,178406
ARM,2015-10,0.04,0.03,673173
ARM,2015-11,0.01,0.01,440832
ARM,2015-12,0.03,0.03,253934
ARM,2016-01,0.02,0.01,997686
ARM,2016-02,0.03,0.02,591070
ARM,2016-03,0.02,0.01,762727
ARM,2016-04,0.02,0.01,1201208
ARM,2016-05,0.01,0.01,857420
ARM,2016-06,0.01,0.0,481073
ARM,2016-07,0.01,0.01,629008
ARM,2016-08,0.01,0.01,640405
ARM,2016-09,0.01,0.01,449275
ARM,2016-10,0.01,0.01,601814
ARM,2016-11,0.02,0.02,666861
ARM,2016-12,0.01,0.01,474921
ARM,2017-01,0.01,0.01,866046
ARM,2017-02,0.01,0.01,370696
ARM,2017-03,0.02,0.01,202971
ARM,2017-04,0.0,0.0,133839
ARM,2017-05,0.0,0.0,108945
ARM,2017-06,0.01,0.01,75451
ARM,2017-07,0.0,0.0,193266
ARM,2017-08,0.0,0.0,147150
ARM,2017-09,0.0,0.0,133630
ARM,2017-10,0.01,0.01,358576
ARM,2017-11,0.01,0.01,327177
ARM,2017-12,0.01,0.01,206812
ARM,2018-01,0.01,0.01,636030
ARM,2018-02,0.0,0.0,150904
ARM,2018-03,0.01,0.01,126428
ARM,2018-04,0.0,0.0,132892
ARM,2018-05,0.0,0.0,334032
ARM,2018-06,0.01,0.0,238517
ARM,2018-07,0.01,0.0,109698
ARM,2018-08,0.01,0.01,153916
ARM,2018-09,0.0,0.0,118823
ARM,2018-10,0.01,0.01,180597
ARM,2018-11,0.02,0.02,244580
ARM,2018-12,0.1,0.1,127054
ARM,2019-01,0.43,0.43,93565
ARM,2019-02,1.14,1.13,94635
ARM,2019-03,1.43,1.4,111575
ARM,2019-04,1.72,1.7,93166
ARM,2019-05,2.08,2.04,80022
ARM,2019-06,1.88,1.86,191869
ARM,2019-07,1.96,1.93,214404
ARM,2019-08,2.42,2.39,196549
ARM,2019-09,3.84,3.78,153877
ARM,2019-10,3.92,3.82,131799
ARM,2019-11,3.92,3.82,161494
ARM,2019-12,5.29,5.25,156519
ARM,2020-01,7.58,7.5,149002
ARM,2020-02,6.82,6.75,154938
ARM,2020-03,7.54,7.48,182552
ARM,2020-04,7.76,7.7,152038
ARM,2020-05,7.99,7.84,131580
ARM,2020-06,8.03,7.69,134310
ARM,2020-07,7.08,7.03,140730
ARM,2020-08,6.11,6.07,170148
ARM,2020-09,6.55,6.51,178334
ARM,2020-10,6.37,6.34,304921
ARM,2020-11,6.58,6.52,308765
ARM,2020-12,5.24,5.21,281080
ARM,2021-01,5.46,5.38,245825
ARM,2021-02,4.74,4.51,258164
ARM,2021-03,5.82,5.8,259156
ARM,2021-04,6.72,6.69,165303
ARM,2021-05,7.45,7.4,119701
ARM,2021-06,7.58,7.51,101282
ARM,2021-07,6.78,6.71,114931
ARM,2021-08,6.91,6.86,157949
ARM,2021-09,6.21,6.18,258492
ARM,2021-10,5.81,5.79,371563
ARM,2021-11,5.53,5.51,392974
ARM,2021-12,5.84,5.79,428724
ARM,2022-01,4.78,4.72,665228
ARM,2022-02,5.45,5.36,272131
ARM,2022-03,2.9,2.8,214560
ARM,2022-04,2.6,2.52,204631
ARM,2022-05,3.41,3.31,170407
ARM,2022-06,3.33,3.25,142922
ARM,2022-07,2.6,2.53,194858
ARM,2022-08,2.94,2.9,338548
ARM,2022-09,3.97,3.86,340634
ARM,2022-10,6.94,6.8,236999
ARM,2022-11,6.55,6.45,216442
ARM,2022-12,3.51,3.47,245851
ARM,2023-01,3.73,3.67,237073
ARM,2023-02,3.38,3.31,371422
ARM,2023-03,3.76,3.68,440479
ARM,2023-04,3.99,3.91,297413
ARM,2023-05,4.32,4.21,383751
ARM,2023-06,3.95,3.86,260806
ARM,2023-07,3.63,3.53,64060
ARM,2023-08,4.35,4.27,180475
ARM,2023-09,3.96,3.87,138705
ARM,2023-10,4.18,4.08,417350
ARM,2023-11,4.91,4.82,393021
ARM,2023-12,4.16,4.07,277088
ARM,2024-01,4.11,4.01,273432
ARM,2024-02,4.88,4.72,303150
ARM,2024-03,3.51,3.35,253072
ARM,2024-04,3.09,2.98,476661
ARM,2024-05,4.53,4.31,607896
ARM,2024-06,5.64,5.52,721717
ARM,2024-07,5.07,4.9,611398
ARM,2024-08,5.56,5.32,678719
ARM,2024-09,4.38,4.28,400449
ARM,2024-10,5.03,4.96,773911
ARM,2024-11,4.82,4.75,658845
ARM,2024-12,6.49,6.27,1008799
ARM,2025-01,6.22,6.0,1196514
ARM,2025-02,6.52,6.23,1300346
ARM,2025-03,7.32,6.09,1310298
ARM,2025-04,7.49,7.33,1240908
ARM,2025-05,7.99,7.82,1143633
ARM,2025-06,7.22,6.98,1067814
ARM,2025-07,7.21,6.99,1121963
ARM,2025-08,7.7,7.41,1289546
ARM,2025-09,8.63,8.41,1208190
ARM,2025-10,8.46,8.24,1246285
ARM,2025-11,8.94,8.74,1249870
ARM,2025-12,8.76,8.49,1544348
ARM,2026-01,8.84,8.73,1679841
ARM,2026-02,8.23,7.97,1597656
ARM,2026-03,8.32,7.91,1638208
ARM,2026-04,8.36,8.05,1232706
ARM,2026-05,8.76,8.47,1157837
ARM,2026-06,9.28,9.09,1026305
ARM,2026-07,8.89,8.59,995686
ARM,2026-08,8.88,8.7,1110778
AZE,2015-01,0.0,0.0,1890
AZE,2015-02,0.0,0.0,55082
AZE,2015-03,0.01,0.01,38427
AZE,2015-04,0.0,0.0,89942
AZE,2015-05,0.0,0.0,124221
AZE,2015-06,0.01,0.0,171226
AZE,2015-07,0.03,0.02,290530
AZE,2015-08,0.02,0.02,248219
AZE,2015-09,0.0,0.0,250291
AZE,2015-10,0.0,0.0,659331
AZE,2015-11,0.0,0.0,729164
AZE,2015-12,0.0,0.0,399592
AZE,2016-01,0.0,0.0,591056
AZE,2016-02,0.0,0.0,385864
AZE,2016-03,0.0,0.0,433001
AZE,2016-04,0.0,0.0,488155
AZE,2016-05,0.0,0.0,719879
AZE,2016-06,0.0,0.0,617348
AZE,2016-07,0.0,0.0,709762
AZE,2016-08,0.0,0.0,565118
AZE,2016-09,0.0,0.0,566094
AZE,2016-10,0.01,0.01,537589
AZE,2016-11,0.0,0.0,572239
AZE,2016-12,0.0,0.0,598612
AZE,2017-01,0.01,0.01,943485
AZE,2017-02,0.01,0.01,527823
AZE,2017-03,0.01,0.01,315021
AZE,2017-04,0.0,0.0,246821
AZE,2017-05,0.0,0.0,114493
AZE,2017-06,0.0,0.0,115543
AZE,2017-07,0.0,0.0,550433
AZE,2017-08,0.0,0.0,467827
AZE,2017-09,0.0,0.0,369697
AZE,2017-10,0.0,0.0,861355
AZE,2017-11,0.0,0.0,584268
AZE,2017-12,0.0,0.0,452255
AZE,2018-01,0.01,0.01,1123642
AZE,2018-02,0.0,0.0,329365
AZE,2018-03,0.0,0.0,367670
AZE,2018-04,0.0,0.0,269000
AZE,2018-05,0.0,0.0,546767
AZE,2018-06,0.0,0.0,752638
AZE,2018-07,0.0,0.0,357034
AZE,2018-08,0.0,0.0,534995
AZE,2018-09,0.0,0.0,271758
AZE,2018-10,0.01,0.01,265273
AZE,2018-11,0.0,0.0,569063
AZE,2018-12,0.0,0.0,343521
AZE,2019-01,0.0,0.0,173468
AZE,2019-02,0.0,0.0,160063
AZE,2019-03,0.0,0.0,162490
AZE,2019-04,0.0,0.0,143732
AZE,2019-05,0.0,0.0,133529
AZE,2019-06,0.0,0.0,650153
AZE,2019-07,0.0,0.0,873997
AZE,2019-08,0.0,0.0,809276
AZE,2019-09,0.0,0.0,738870
AZE,2019-10,0.0,0.0,646303
AZE,2019-11,0.0,0.0,1055643
AZE,2019-12,0.0,0.0,850512
AZE,2020-01,0.0,0.0,737002
AZE,2020-02,0.0,0.0,916540
AZE,2020-03,0.0,0.0,651193
AZE,2020-04,0.01,0.01,575097
AZE,2020-05,0.01,0.01,392410
AZE,2020-06,0.01,0.01,585502
AZE,2020-07,0.0,0.0,640313
AZE,2020-08,0.0,0.0,766004
AZE,2020-09,0.0,0.0,688926
AZE,2020-10,0.24,0.23,519344
AZE,2020-11,0.16,0.15,632444
AZE,2020-12,0.01,0.01,995966
AZE,2021-01,0.01,0.01,763711
