region_id,name,kind,type,year,quarter,download_mbps,upload_mbps,latency_ms,tile_median_download_mbps,tests,devices,tiles
C-baku,Baku,city,fixed,2019,1,16.236,16.824,23.69,5.632,79639.0,23576.0,2238
C-ganja,Ganja,city,fixed,2019,1,6.054,5.445,89.59,3.957,929.0,364.0,119
C-lankaran,Lankaran,city,fixed,2019,1,3.682,3.203,62.1,2.774,136.0,59.0,34
C-mingachevir,Mingachevir,city,fixed,2019,1,9.318,9.062,31.58,4.818,201.0,110.0,43
C-nakhchivan,Nakhchivan,city,fixed,2019,1,2.273,1.397,140.26,2.209,321.0,77.0,43
C-shaki,Shaki,city,fixed,2019,1,4.9,5.314,71.8,2.886,111.0,50.0,20
C-shirvan,Shirvan,city,fixed,2019,1,7.149,3.807,39.41,5.508,73.0,29.0,15
C-sumqayit,Sumqayit,city,fixed,2019,1,14.134,14.389,35.35,7.314,3055.0,879.0,140
C-yevlakh,Yevlakh,city,fixed,2019,1,3.321,1.805,52.6,1.693,60.0,27.0,17
D-absheron,Absheron,district,fixed,2019,1,9.404,8.74,32.83,3.95,4420.0,1264.0,300
D-agdam,Agdam,district,fixed,2019,1,0.631,0.581,309.88,0.648,8.0,4.0,3
D-agdash,Agdash,district,fixed,2019,1,1.842,0.748,57.82,1.359,77.0,35.0,32
D-aghjabadi,Aghjabadi,district,fixed,2019,1,1.753,1.085,46.46,1.546,106.0,42.0,36
D-agstafa,Agstafa,district,fixed,2019,1,1.74,1.162,176.0,1.364,62.0,35.0,30
D-agsu,Agsu,district,fixed,2019,1,7.532,4.622,28.84,3.21,50.0,39.0,27
D-astara,Astara,district,fixed,2019,1,1.892,0.644,101.28,1.177,156.0,47.0,39
D-babek,Babek,district,fixed,2019,1,4.552,2.386,114.41,1.12,27.0,19.0,18
D-balakan,Balakan,district,fixed,2019,1,2.75,1.288,92.4,1.633,77.0,35.0,31
D-barda,Barda,district,fixed,2019,1,3.945,2.635,50.57,2.133,188.0,66.0,55
D-beylagan,Beylagan,district,fixed,2019,1,2.996,0.823,41.37,2.607,49.0,17.0,15
D-bilasuvar,Bilasuvar,district,fixed,2019,1,2.084,0.973,63.0,1.506,76.0,45.0,34
D-dashkasan,Dashkasan,district,fixed,2019,1,3.707,2.41,49.88,3.746,8.0,5.0,5
D-fuzuli,Fuzuli,district,fixed,2019,1,11.339,5.238,49.09,8.095,70.0,19.0,19
D-gadabay,Gadabay,district,fixed,2019,1,2.019,0.882,99.33,2.42,210.0,21.0,16
D-gobustan,Gobustan,district,fixed,2019,1,1.677,0.422,52.0,0.942,22.0,7.0,7
D-goranboy,Goranboy,district,fixed,2019,1,6.88,13.681,55.64,2.011,129.0,56.0,31
D-goychay,Goychay,district,fixed,2019,1,2.501,1.412,54.39,2.158,217.0,88.0,62
D-goygol,Goygol,district,fixed,2019,1,4.909,2.597,76.44,2.935,413.0,175.0,131
D-hajigabul,Hajigabul,district,fixed,2019,1,8.204,9.052,28.75,2.382,264.0,74.0,44
D-imishli,Imishli,district,fixed,2019,1,2.023,2.204,110.1,1.264,94.0,46.0,36
D-ismailli,Ismailli,district,fixed,2019,1,3.576,4.177,43.52,1.473,110.0,53.0,50
D-jalilabad,Jalilabad,district,fixed,2019,1,1.926,1.007,64.87,1.162,251.0,56.0,44
D-julfa,Julfa,district,fixed,2019,1,3.226,0.642,213.14,0.706,14.0,8.0,7
D-kalbajar,Kalbajar,district,fixed,2019,1,7.62,7.521,27.0,7.62,2.0,1.0,1
D-kangarli,Kangarli,district,fixed,2019,1,6.658,16.206,160.77,3.854,26.0,14.0,14
D-khachmaz,Khachmaz,district,fixed,2019,1,7.628,7.304,53.08,2.233,449.0,136.0,80
D-khizi,Khizi,district,fixed,2019,1,9.098,10.307,38.41,3.457,74.0,39.0,33
D-kurdamir,Kurdamir,district,fixed,2019,1,3.307,3.01,57.02,2.11,61.0,35.0,34
D-lachin,Lachin,district,fixed,2019,1,3.632,0.919,68.67,0.841,3.0,3.0,3
D-lankaran,Lankaran,district,fixed,2019,1,2.601,1.46,53.27,1.792,246.0,92.0,75
D-lerik,Lerik,district,fixed,2019,1,1.369,0.855,41.86,1.183,22.0,13.0,13
D-masally,Masally,district,fixed,2019,1,2.467,2.013,73.44,1.307,273.0,95.0,83
D-neftchala,Neftchala,district,fixed,2019,1,1.604,1.221,36.42,1.114,98.0,55.0,46
D-oghuz,Oghuz,district,fixed,2019,1,5.625,4.098,59.76,1.341,62.0,26.0,24
D-ordubad,Ordubad,district,fixed,2019,1,4.329,2.868,193.36,0.872,50.0,14.0,10
D-qabala,Qabala,district,fixed,2019,1,5.712,5.505,54.98,2.075,407.0,201.0,109
D-qakh,Qakh,district,fixed,2019,1,2.342,1.314,79.05,2.341,21.0,14.0,12
D-qazakh,Qazakh,district,fixed,2019,1,2.87,1.922,57.8,1.276,175.0,53.0,47
D-quba,Quba,district,fixed,2019,1,7.166,5.949,62.81,3.613,588.0,233.0,114
D-qubadli,Qubadli,district,fixed,2019,1,0.977,2.591,19.0,0.977,12.0,1.0,1
D-qusar,Qusar,district,fixed,2019,1,6.712,5.892,44.69,2.538,370.0,175.0,91
D-saatly,Saatly,district,fixed,2019,1,2.201,0.741,62.95,1.944,308.0,48.0,37
D-sabirabad,Sabirabad,district,fixed,2019,1,3.327,1.68,78.08,2.991,303.0,62.0,40
D-sadarak,Sadarak,district,fixed,2019,1,4.982,6.187,13.0,4.982,1.0,1.0,1
D-salyan,Salyan,district,fixed,2019,1,3.336,1.724,100.83,1.255,132.0,61.0,46
D-samukh,Samukh,district,fixed,2019,1,2.255,1.306,70.23,2.208,87.0,34.0,28
D-shabran,Shabran,district,fixed,2019,1,9.737,20.124,33.04,2.808,51.0,38.0,19
D-shahbuz,Shahbuz,district,fixed,2019,1,4.794,0.931,106.33,0.773,3.0,3.0,3
D-shaki,Shaki,district,fixed,2019,1,2.734,1.234,89.64,1.034,109.0,43.0,39
D-shamakhi,Shamakhi,district,fixed,2019,1,6.232,4.282,302.39,2.976,322.0,114.0,93
D-shamkir,Shamkir,district,fixed,2019,1,5.31,4.187,93.04,1.844,566.0,197.0,136
D-sharur,Sharur,district,fixed,2019,1,8.119,1.671,171.22,2.208,65.0,34.0,30
D-siazan,Siazan,district,fixed,2019,1,1.399,0.716,47.11,0.967,72.0,24.0,19
D-tartar,Tartar,district,fixed,2019,1,1.382,0.903,67.57,0.925,21.0,17.0,17
D-tovuz,Tovuz,district,fixed,2019,1,4.179,1.936,115.02,1.654,128.0,67.0,56
D-ujar,Ujar,district,fixed,2019,1,2.464,2.346,78.64,0.959,58.0,32.0,31
D-yardymli,Yardymli,district,fixed,2019,1,1.751,0.988,47.94,1.234,16.0,6.0,6
D-yevlakh,Yevlakh,district,fixed,2019,1,2.032,1.747,78.31,1.621,96.0,38.0,35
D-zaqatala,Zaqatala,district,fixed,2019,1,1.526,1.053,77.98,1.034,96.0,37.0,36
D-zardab,Zardab,district,fixed,2019,1,3.688,1.143,45.1,3.103,59.0,20.0,17
C-baku,Baku,city,fixed,2019,2,16.172,16.584,25.12,6.163,68641.0,21998.0,2363
C-ganja,Ganja,city,fixed,2019,2,5.808,5.503,81.59,3.466,942.0,339.0,117
C-lankaran,Lankaran,city,fixed,2019,2,4.032,2.947,76.49,3.178,177.0,81.0,35
C-mingachevir,Mingachevir,city,fixed,2019,2,10.66,10.504,31.92,5.944,129.0,57.0,29
C-nakhchivan,Nakhchivan,city,fixed,2019,2,3.617,4.076,105.02,2.67,187.0,102.0,44
C-shaki,Shaki,city,fixed,2019,2,7.93,6.282,96.76,1.684,95.0,45.0,24
C-shirvan,Shirvan,city,fixed,2019,2,5.123,3.953,46.81,2.794,48.0,18.0,14
C-sumqayit,Sumqayit,city,fixed,2019,2,13.514,13.316,29.26,9.427,2744.0,782.0,141
C-yevlakh,Yevlakh,city,fixed,2019,2,7.025,5.75,62.76,1.466,38.0,19.0,14
D-absheron,Absheron,district,fixed,2019,2,10.052,8.737,32.89,4.285,4304.0,1114.0,291
D-agdash,Agdash,district,fixed,2019,2,1.463,1.078,54.18,1.214,57.0,25.0,19
D-aghjabadi,Aghjabadi,district,fixed,2019,2,3.447,3.061,42.04,1.246,68.0,42.0,39
D-agstafa,Agstafa,district,fixed,2019,2,3.446,2.395,73.97,2.161,78.0,35.0,27
D-agsu,Agsu,district,fixed,2019,2,9.373,3.462,54.94,2.716,62.0,38.0,27
D-astara,Astara,district,fixed,2019,2,2.23,1.146,76.47,1.367,98.0,39.0,33
D-babek,Babek,district,fixed,2019,2,3.225,1.357,202.94,1.107,34.0,22.0,22
D-balakan,Balakan,district,fixed,2019,2,4.283,2.485,82.82,1.173,87.0,42.0,37
D-barda,Barda,district,fixed,2019,2,6.923,5.225,35.08,3.01,145.0,50.0,40
D-beylagan,Beylagan,district,fixed,2019,2,2.283,0.974,82.41,2.619,32.0,12.0,12
D-bilasuvar,Bilasuvar,district,fixed,2019,2,3.947,2.483,38.57,1.947,46.0,29.0,25
D-dashkasan,Dashkasan,district,fixed,2019,2,1.707,0.645,54.5,0.586,6.0,4.0,3
D-fuzuli,Fuzuli,district,fixed,2019,2,6.669,6.89,37.56,4.842,9.0,8.0,8
D-gadabay,Gadabay,district,fixed,2019,2,1.685,0.545,128.08,1.031,72.0,27.0,25
D-gobustan,Gobustan,district,fixed,2019,2,2.426,0.735,53.59,2.242,32.0,14.0,14
D-goranboy,Goranboy,district,fixed,2019,2,5.717,10.078,48.36,1.061,83.0,42.0,24
D-goychay,Goychay,district,fixed,2019,2,3.754,3.39,33.23,1.416,104.0,50.0,43
D-goygol,Goygol,district,fixed,2019,2,3.317,2.785,74.83,2.648,388.0,135.0,89
D-hajigabul,Hajigabul,district,fixed,2019,2,6.41,7.701,35.53,2.612,137.0,48.0,35
D-imishli,Imishli,district,fixed,2019,2,2.852,3.1,116.48,2.171,87.0,49.0,35
D-ismailli,Ismailli,district,fixed,2019,2,6.721,5.364,45.03,3.161,107.0,55.0,49
D-jalilabad,Jalilabad,district,fixed,2019,2,3.02,1.124,57.32,1.028,259.0,61.0,53
D-julfa,Julfa,district,fixed,2019,2,10.714,2.743,105.0,2.313,4.0,3.0,3
D-kangarli,Kangarli,district,fixed,2019,2,14.329,19.588,118.67,11.705,3.0,3.0,3
D-khachmaz,Khachmaz,district,fixed,2019,2,9.101,11.825,43.17,3.389,412.0,152.0,97
D-khizi,Khizi,district,fixed,2019,2,7.427,9.882,51.46,1.972,81.0,33.0,22
D-khojaly,Khojaly,district,fixed,2019,2,1.387,1.26,8.33,1.694,3.0,3.0,3
D-khojavend,Khojavend,district,fixed,2019,2,0.929,0.822,27.4,0.94,5.0,3.0,3
D-kurdamir,Kurdamir,district,fixed,2019,2,8.878,10.147,48.96,2.326,107.0,39.0,35
D-lankaran,Lankaran,district,fixed,2019,2,2.452,1.803,48.9,1.384,307.0,103.0,86
D-lerik,Lerik,district,fixed,2019,2,1.725,1.03,40.1,0.945,49.0,11.0,11
D-masally,Masally,district,fixed,2019,2,2.654,1.549,74.6,1.191,121.0,69.0,60
D-neftchala,Neftchala,district,fixed,2019,2,3.806,1.618,45.6,1.187,107.0,37.0,31
D-oghuz,Oghuz,district,fixed,2019,2,4.068,3.23,78.13,2.469,45.0,32.0,29
D-ordubad,Ordubad,district,fixed,2019,2,3.136,2.085,470.08,1.281,12.0,9.0,8
D-qabala,Qabala,district,fixed,2019,2,6.809,6.556,63.39,3.065,481.0,260.0,101
D-qakh,Qakh,district,fixed,2019,2,4.874,2.95,72.85,3.856,33.0,22.0,19
D-qazakh,Qazakh,district,fixed,2019,2,4.434,3.929,58.48,1.541,150.0,51.0,47
D-quba,Quba,district,fixed,2019,2,9.612,11.036,65.64,2.399,580.0,256.0,133
D-qubadli,Qubadli,district,fixed,2019,2,2.806,1.091,39.0,2.806,1.0,1.0,1
D-qusar,Qusar,district,fixed,2019,2,7.405,11.208,66.12,3.542,344.0,143.0,111
D-saatly,Saatly,district,fixed,2019,2,2.622,1.08,56.45,1.797,125.0,38.0,31
D-sabirabad,Sabirabad,district,fixed,2019,2,3.326,1.615,59.54,2.135,200.0,54.0,37
D-salyan,Salyan,district,fixed,2019,2,3.022,1.864,70.43,1.75,51.0,25.0,22
D-samukh,Samukh,district,fixed,2019,2,1.167,0.761,83.22,1.14,50.0,18.0,18
D-shabran,Shabran,district,fixed,2019,2,8.405,44.536,23.22,1.952,45.0,30.0,12
D-shahbuz,Shahbuz,district,fixed,2019,2,4.667,3.646,200.54,5.042,13.0,5.0,5
D-shaki,Shaki,district,fixed,2019,2,21.498,43.006,65.7,0.999,70.0,50.0,27
D-shamakhi,Shamakhi,district,fixed,2019,2,6.684,5.99,179.49,3.403,194.0,79.0,64
D-shamkir,Shamkir,district,fixed,2019,2,4.982,5.089,72.67,2.027,476.0,169.0,120
D-sharur,Sharur,district,fixed,2019,2,3.726,1.899,150.23,2.608,13.0,9.0,9
