country,network,statistic,month,download_mbps,upload_mbps,latency_ms,jitter_ms,global_rank,period_type,aggregate_start,index_date
armenia,fixed,mean,2023-06,84.99,79.74,9,16,81,month,2023-06-01,2023-06-01
armenia,fixed,mean,2023-07,89.44,81.23,9,16,82,month,2023-07-01,2023-07-01
armenia,fixed,mean,2023-08,89.49,83.37,9,17,82,month,2023-08-01,2023-08-01
armenia,fixed,mean,2023-09,93.38,85.93,10,19,84,month,2023-09-01,2023-09-01
armenia,fixed,mean,2023-10,87.34,83.93,10,19,86,month,2023-10-01,2023-10-01
armenia,fixed,mean,2023-11,90.95,87.83,9,20,87,month,2023-11-01,2023-11-01
armenia,fixed,mean,2023-12,91.72,86.22,9,17,85,month,2023-12-01,2023-12-01
armenia,fixed,mean,2024-01,99.85,93.11,8,22,84,month,2024-01-01,2024-01-01
armenia,fixed,mean,2024-02,94.17,88.89,9,16,88,month,2024-02-01,2024-02-01
armenia,fixed,mean,2024-03,99.44,91.57,8,16,87,month,2024-03-01,2024-03-01
armenia,fixed,mean,2024-04,102.86,94.59,9,15,87,month,2024-04-01,2024-04-01
armenia,fixed,mean,2024-05,107.39,97.76,9,17,85,month,2024-05-01,2024-05-01
armenia,fixed,mean,2024-06,103.31,96.51,9,18,83,rolling_quarter,2024-04-01,2024-06-01
armenia,fixed,mean,2024-07,102.35,98.48,10,18,84,rolling_quarter,2024-05-01,2024-07-01
armenia,fixed,mean,2024-08,101.83,99.85,11,19,85,rolling_quarter,2024-06-01,2024-08-01
armenia,fixed,mean,2024-09,101.25,100.76,11,19,84,rolling_quarter,2024-07-01,2024-09-01
armenia,fixed,mean,2024-10,100.42,100.75,12,19,85,rolling_quarter,2024-08-01,2024-10-01
armenia,fixed,mean,2024-11,98.65,101.11,12,18,88,rolling_quarter,2024-09-01,2024-11-01
armenia,fixed,mean,2024-12,97.89,101.03,12,18,90,rolling_quarter,2024-10-01,2024-12-01
armenia,fixed,mean,2025-01,98.92,101.62,12,18,90,rolling_quarter,2024-11-01,2025-01-01
armenia,fixed,mean,2025-02,100.14,102.2,11,18,92,rolling_quarter,2024-12-01,2025-02-01
armenia,fixed,mean,2025-03,103.66,106.24,11,18,94,rolling_quarter,2025-01-01,2025-03-01
armenia,fixed,mean,2025-04,105.71,108.48,11,17,91,rolling_quarter,2025-02-01,2025-04-01
armenia,fixed,mean,2025-07,129.14,127.84,11,15,83,rolling_quarter,2025-05-01,2025-07-01
armenia,fixed,mean,2025-08,128.82,127.43,11,16,83,rolling_quarter,2025-06-01,2025-08-01
armenia,fixed,mean,2025-09,123.98,123.85,11,16,85,rolling_quarter,2025-07-01,2025-09-01
armenia,fixed,mean,2025-10,123.17,121.52,11,17,83,rolling_quarter,2025-08-01,2025-10-01
armenia,fixed,mean,2025-11,126.38,123.71,11,18,85,rolling_quarter,2025-09-01,2025-11-01
armenia,fixed,mean,2025-12,130.09,126.66,12,19,86,rolling_quarter,2025-10-01,2025-12-01
armenia,fixed,mean,2026-01,131.13,127.95,12,19,82,rolling_quarter,2025-11-01,2026-01-01
armenia,fixed,mean,2026-02,132.96,129.67,12,20,83,rolling_quarter,2025-12-01,2026-02-01
armenia,fixed,mean,2026-03,134.92,131.44,12,19,84,rolling_quarter,2026-01-01,2026-03-01
armenia,fixed,mean,2026-04,139.87,136.89,12,19,84,rolling_quarter,2026-02-01,2026-04-01
armenia,fixed,mean,2026-05,151.39,148.34,11,17,82,rolling_quarter,2026-03-01,2026-05-01
armenia,fixed,mean,2026-06,157.12,153.22,11,17,79,rolling_quarter,2026-04-01,2026-06-01
armenia,fixed,mean,2026-07,161.95,156.94,11,18,79,rolling_quarter,2026-05-01,2026-07-01
armenia,fixed,median,2023-06,44.47,42.04,4,2,96,month,2023-06-01,2023-06-01
armenia,fixed,median,2023-07,43.97,41.8,4,2,98,month,2023-07-01,2023-07-01
armenia,fixed,median,2023-08,44.96,43.45,4,2,98,month,2023-08-01,2023-08-01
armenia,fixed,median,2023-09,47.48,45.4,4,2,100,month,2023-09-01,2023-09-01
armenia,fixed,median,2023-10,45.31,45.57,4,2,101,month,2023-10-01,2023-10-01
armenia,fixed,median,2023-11,48.53,47.51,4,2,99,month,2023-11-01,2023-11-01
armenia,fixed,median,2023-12,49.86,48.51,4,2,96,month,2023-12-01,2023-12-01
armenia,fixed,median,2024-01,51.43,50.07,4,1,96,month,2024-01-01,2024-01-01
armenia,fixed,median,2024-02,50.95,49.63,4,2,97,month,2024-02-01,2024-02-01
armenia,fixed,median,2024-03,52.76,50.37,4,2,96,month,2024-03-01,2024-03-01
armenia,fixed,median,2024-04,54.95,51.47,4,1,96,month,2024-04-01,2024-04-01
armenia,fixed,median,2024-05,56.77,54.06,4,1,96,month,2024-05-01,2024-05-01
armenia,fixed,median,2024-06,56.42,54.09,4,2,92,rolling_quarter,2024-04-01,2024-06-01
armenia,fixed,median,2024-07,56.9,55.45,4,1,93,rolling_quarter,2024-05-01,2024-07-01
armenia,fixed,median,2024-08,56.54,55.93,4,2,93,rolling_quarter,2024-06-01,2024-08-01
armenia,fixed,median,2024-09,56.53,56.09,4,2,92,rolling_quarter,2024-07-01,2024-09-01
armenia,fixed,median,2024-10,56.2,56.02,4,2,94,rolling_quarter,2024-08-01,2024-10-01
armenia,fixed,median,2024-11,57.7,57.58,4,2,94,rolling_quarter,2024-09-01,2024-11-01
armenia,fixed,median,2024-12,58.58,58.72,4,2,95,rolling_quarter,2024-10-01,2024-12-01
armenia,fixed,median,2025-01,60.33,60.84,4,2,95,rolling_quarter,2024-11-01,2025-01-01
armenia,fixed,median,2025-02,62.3,61.57,4,2,95,rolling_quarter,2024-12-01,2025-02-01
armenia,fixed,median,2025-03,63.94,64.42,4,2,97,rolling_quarter,2025-01-01,2025-03-01
