entity,code,year,it_net_bbnd_p2
Armenia,ARM,2001,0.00019453051
Armenia,ARM,2002,0.0002618118
Armenia,ARM,2003,0.00032905908
Armenia,ARM,2004,0.033084746
Armenia,ARM,2005,0.0661932
Armenia,ARM,2007,0.13110042
Armenia,ARM,2008,0.46618402
Armenia,ARM,2009,1.3541934
Armenia,ARM,2010,3.1928868
Armenia,ARM,2011,5.4929223
Armenia,ARM,2012,7.2558074
Armenia,ARM,2013,8.316732
Armenia,ARM,2014,9.337631
Armenia,ARM,2015,9.801495
Armenia,ARM,2016,10.249784
Armenia,ARM,2017,10.817256
Armenia,ARM,2018,11.939938
Armenia,ARM,2019,13.281946
Armenia,ARM,2020,14.88838
Armenia,ARM,2021,16.256594
Armenia,ARM,2022,17.73007
Armenia,ARM,2023,18.545807
Armenia,ARM,2024,20.309095
Azerbaijan,AZE,2002,0.012010378
Azerbaijan,AZE,2005,0.025403477
Azerbaijan,AZE,2006,0.045400385
Azerbaijan,AZE,2007,0.16537705
Azerbaijan,AZE,2008,0.67094296
Azerbaijan,AZE,2009,1.1054199
Azerbaijan,AZE,2010,5.196269
Azerbaijan,AZE,2011,10.521318
Azerbaijan,AZE,2012,14.607162
Azerbaijan,AZE,2013,18.014555
Azerbaijan,AZE,2014,19.70764
Azerbaijan,AZE,2015,19.475906
Azerbaijan,AZE,2016,18.277096
Azerbaijan,AZE,2017,18.109165
Azerbaijan,AZE,2018,18.8342
Azerbaijan,AZE,2019,19.217821
Azerbaijan,AZE,2020,19.598576
Azerbaijan,AZE,2021,20.0857
Azerbaijan,AZE,2022,20.365595
Azerbaijan,AZE,2023,20.882504
Azerbaijan,AZE,2024,21.75341
Belarus,BLR,2002,0.00020256345
Belarus,BLR,2003,0.0012546955
Belarus,BLR,2004,0.007704088
Belarus,BLR,2005,0.01617735
Belarus,BLR,2006,0.11884843
Belarus,BLR,2007,1.7756314
Belarus,BLR,2008,5.0158677
Belarus,BLR,2009,11.488916
Belarus,BLR,2010,17.56058
Belarus,BLR,2011,22.148493
Belarus,BLR,2012,26.754957
Belarus,BLR,2013,29.434792
Belarus,BLR,2014,28.337694
Belarus,BLR,2015,30.604061
Belarus,BLR,2016,32.29296
Belarus,BLR,2017,33.31251
Belarus,BLR,2018,33.771187
Belarus,BLR,2019,34.07235
Belarus,BLR,2020,34.815224
Belarus,BLR,2021,35.00976
Belarus,BLR,2022,34.067177
Belarus,BLR,2023,35.09319
Belarus,BLR,2024,36.262707
Europe and Central Asia (WB),WB_ECA,2002,1.8907725
Europe and Central Asia (WB),WB_ECA,2003,3.1893647
Europe and Central Asia (WB),WB_ECA,2004,5.496278
Europe and Central Asia (WB),WB_ECA,2005,7.6985083
Europe and Central Asia (WB),WB_ECA,2006,10.707315
Europe and Central Asia (WB),WB_ECA,2007,13.389236
Europe and Central Asia (WB),WB_ECA,2008,15.552882
Europe and Central Asia (WB),WB_ECA,2009,17.370872
Europe and Central Asia (WB),WB_ECA,2010,18.998924
Europe and Central Asia (WB),WB_ECA,2011,20.33108
Europe and Central Asia (WB),WB_ECA,2012,21.521894
Europe and Central Asia (WB),WB_ECA,2013,22.786594
Europe and Central Asia (WB),WB_ECA,2014,23.659754
Europe and Central Asia (WB),WB_ECA,2015,24.8
Europe and Central Asia (WB),WB_ECA,2016,25.6
Europe and Central Asia (WB),WB_ECA,2017,26.9
Europe and Central Asia (WB),WB_ECA,2018,27.8
Europe and Central Asia (WB),WB_ECA,2019,28.5
Europe and Central Asia (WB),WB_ECA,2020,29.8
Europe and Central Asia (WB),WB_ECA,2021,30.85
Europe and Central Asia (WB),WB_ECA,2022,31.57
Europe and Central Asia (WB),WB_ECA,2023,32.56
Europe and Central Asia (WB),WB_ECA,2024,33.47
Europe and Central Asia (WB),WB_ECA,2025,34.45
Georgia,GEO,2001,0.01021466
Georgia,GEO,2002,0.022287654
Georgia,GEO,2003,0.03451244
Georgia,GEO,2004,0.04684334
Georgia,GEO,2005,0.059362203
Georgia,GEO,2006,0.67557573
Georgia,GEO,2007,1.177919
Georgia,GEO,2008,2.8451016
Georgia,GEO,2009,3.8275647
Georgia,GEO,2010,4.6826363
Georgia,GEO,2011,6.42341
Georgia,GEO,2012,12.061133
Georgia,GEO,2013,13.57086
Georgia,GEO,2014,15.840741
Georgia,GEO,2015,16.764652
Georgia,GEO,2016,17.959593
Georgia,GEO,2017,20.46443
Georgia,GEO,2018,22.59114
Georgia,GEO,2019,24.680607
Georgia,GEO,2020,25.512043
Georgia,GEO,2021,26.64638
Georgia,GEO,2022,28.333708
Georgia,GEO,2023,29.308638
Georgia,GEO,2024,30.415766
Kazakhstan,KAZ,2003,0.006337562
Kazakhstan,KAZ,2004,0.012599243
Kazakhstan,KAZ,2005,0.018762387
Kazakhstan,KAZ,2006,0.18939728
Kazakhstan,KAZ,2007,1.6630771
Kazakhstan,KAZ,2008,2.0533862
Kazakhstan,KAZ,2009,3.4738228
Kazakhstan,KAZ,2010,5.164874
Kazakhstan,KAZ,2011,6.9928503
Kazakhstan,KAZ,2012,9.460823
Kazakhstan,KAZ,2013,11.157251
Kazakhstan,KAZ,2014,12.056385
Kazakhstan,KAZ,2015,12.723836
Kazakhstan,KAZ,2016,12.796511
Kazakhstan,KAZ,2017,13.811439
Kazakhstan,KAZ,2018,13.00024
Kazakhstan,KAZ,2019,13.079949
Kazakhstan,KAZ,2020,13.450284
Kazakhstan,KAZ,2021,13.946795
Kazakhstan,KAZ,2022,14.473953
Kazakhstan,KAZ,2023,14.345721
