entity,code,year,it_net_user_zs
Armenia,ARM,1990,0.0
Armenia,ARM,1994,0.00912
Armenia,ARM,1995,0.0527
Armenia,ARM,1996,0.0946
Armenia,ARM,1997,0.112
Armenia,ARM,1998,0.129
Armenia,ARM,1999,0.971
Armenia,ARM,2000,1.30047
Armenia,ARM,2001,1.6310947
Armenia,ARM,2002,1.960405
Armenia,ARM,2003,4.5752172
Armenia,ARM,2004,4.8990088
Armenia,ARM,2005,5.253
Armenia,ARM,2006,5.6318
Armenia,ARM,2007,6.0213
Armenia,ARM,2008,6.21
Armenia,ARM,2009,15.3
Armenia,ARM,2010,25.0
Armenia,ARM,2011,32.0
Armenia,ARM,2012,37.5
Armenia,ARM,2013,41.9
Armenia,ARM,2014,54.622807
Armenia,ARM,2015,59.100834
Armenia,ARM,2016,64.34603
Armenia,ARM,2017,64.74488
Armenia,ARM,2018,68.24505
Armenia,ARM,2019,66.54395
Armenia,ARM,2020,76.5077
Armenia,ARM,2021,78.61226
Armenia,ARM,2022,77.02767
Armenia,ARM,2023,79.99663
Armenia,ARM,2024,81.3393
Azerbaijan,AZE,1990,0.0
Azerbaijan,AZE,1994,0.00143
Azerbaijan,AZE,1995,0.00206
Azerbaijan,AZE,1996,0.00635
Azerbaijan,AZE,1997,0.0252
Azerbaijan,AZE,1998,0.0375
Azerbaijan,AZE,1999,0.0992
Azerbaijan,AZE,2000,0.14775757
Azerbaijan,AZE,2001,0.30556464
Azerbaijan,AZE,2002,4.999714
Azerbaijan,AZE,2005,8.0304
Azerbaijan,AZE,2006,11.9922
Azerbaijan,AZE,2007,14.54
Azerbaijan,AZE,2008,17.08
Azerbaijan,AZE,2009,27.4
Azerbaijan,AZE,2010,46.0
Azerbaijan,AZE,2011,50.0
Azerbaijan,AZE,2012,54.2
Azerbaijan,AZE,2013,73.0
Azerbaijan,AZE,2014,75.000015
Azerbaijan,AZE,2015,77.0
Azerbaijan,AZE,2016,78.2
Azerbaijan,AZE,2017,79.0
Azerbaijan,AZE,2018,79.799995
Azerbaijan,AZE,2019,81.1
Azerbaijan,AZE,2020,84.6
