entity,code,year,it_cel_sets_p2
Armenia,ARM,1980,0.0
Armenia,ARM,1981,0.0
Armenia,ARM,1982,0.0
Armenia,ARM,1983,0.0
Armenia,ARM,1984,0.0
Armenia,ARM,1985,0.0
Armenia,ARM,1986,0.0
Armenia,ARM,1987,0.0
Armenia,ARM,1988,0.0
Armenia,ARM,1989,0.0
Armenia,ARM,1990,0.0
Armenia,ARM,1991,0.0
Armenia,ARM,1992,0.0
Armenia,ARM,1993,0.0
Armenia,ARM,1994,0.0
Armenia,ARM,1995,0.0
Armenia,ARM,1996,0.009093946
Armenia,ARM,1997,0.15283892
Armenia,ARM,1998,0.24165651
Armenia,ARM,1999,0.2545516
Armenia,ARM,2000,0.5594396
Armenia,ARM,2001,0.8268844
Armenia,ARM,2002,2.3350012
Armenia,ARM,2003,3.7637448
Armenia,ARM,2004,6.7264266
Armenia,ARM,2005,10.579071
Armenia,ARM,2006,42.127197
Armenia,ARM,2007,63.076477
Armenia,ARM,2008,48.71638
Armenia,ARM,2009,74.4012
Armenia,ARM,2010,131.87483
Armenia,ARM,2011,109.85006
Armenia,ARM,2012,113.69736
Armenia,ARM,2013,114.499725
Armenia,ARM,2014,118.36542
Armenia,ARM,2015,118.59911
Armenia,ARM,2016,117.6708
Armenia,ARM,2017,119.676445
Armenia,ARM,2018,123.0
Armenia,ARM,2019,124.6137
Armenia,ARM,2020,120.68237
Armenia,ARM,2021,125.395134
Armenia,ARM,2022,130.54007
Armenia,ARM,2023,134.51996
Armenia,ARM,2024,134.88695
Azerbaijan,AZE,1980,0.0
Azerbaijan,AZE,1981,0.0
Azerbaijan,AZE,1982,0.0
Azerbaijan,AZE,1983,0.0
Azerbaijan,AZE,1984,0.0
Azerbaijan,AZE,1985,0.0
Azerbaijan,AZE,1986,0.0
Azerbaijan,AZE,1987,0.0
Azerbaijan,AZE,1988,0.0
Azerbaijan,AZE,1989,0.0
Azerbaijan,AZE,1990,0.0
Azerbaijan,AZE,1991,0.0
Azerbaijan,AZE,1992,0.0
Azerbaijan,AZE,1993,0.0
Azerbaijan,AZE,1994,0.006392325
Azerbaijan,AZE,1995,0.076052085
Azerbaijan,AZE,1996,0.21386063
Azerbaijan,AZE,1997,0.49999613
Azerbaijan,AZE,1998,0.8083475
Azerbaijan,AZE,1999,4.567084
Azerbaijan,AZE,2000,5.142643
Azerbaijan,AZE,2001,8.846586
Azerbaijan,AZE,2002,9.538642
Azerbaijan,AZE,2003,12.58373
Azerbaijan,AZE,2004,17.156002
Azerbaijan,AZE,2005,26.078112
Azerbaijan,AZE,2006,38.151245
Azerbaijan,AZE,2007,51.187595
Azerbaijan,AZE,2008,73.222244
Azerbaijan,AZE,2009,85.74875
Azerbaijan,AZE,2010,99.48903
Azerbaijan,AZE,2011,109.33385
Azerbaijan,AZE,2012,107.98853
Azerbaijan,AZE,2013,106.58318
Azerbaijan,AZE,2014,109.566696
Azerbaijan,AZE,2015,109.68211
Azerbaijan,AZE,2016,103.24846
Azerbaijan,AZE,2017,101.589905
Azerbaijan,AZE,2018,102.987274
Azerbaijan,AZE,2019,106.32834
Azerbaijan,AZE,2020,101.59668
Azerbaijan,AZE,2021,105.69356
Azerbaijan,AZE,2022,107.506294
Azerbaijan,AZE,2023,107.68673
Azerbaijan,AZE,2024,109.54315
Belarus,BLR,1980,0.0
Belarus,BLR,1981,0.0
Belarus,BLR,1982,0.0
Belarus,BLR,1983,0.0
Belarus,BLR,1984,0.0
Belarus,BLR,1985,0.0
Belarus,BLR,1986,0.0
Belarus,BLR,1987,0.0
Belarus,BLR,1988,0.0
Belarus,BLR,1989,0.0
Belarus,BLR,1990,0.0
Belarus,BLR,1991,0.0
Belarus,BLR,1992,0.0
Belarus,BLR,1993,0.00309146
Belarus,BLR,1994,0.016457615
Belarus,BLR,1995,0.056367535
Belarus,BLR,1996,0.062741585
Belarus,BLR,1997,0.07852187
Belarus,BLR,1998,0.11735496
Belarus,BLR,1999,0.22755487
Belarus,BLR,2000,0.4939591
Belarus,BLR,2001,1.3919108
Belarus,BLR,2002,4.685596
Belarus,BLR,2003,11.404468
Belarus,BLR,2004,23.00222
Belarus,BLR,2005,42.403484
Belarus,BLR,2006,62.031406
Belarus,BLR,2007,72.779495
Belarus,BLR,2008,85.29431
Belarus,BLR,2009,101.88132
Belarus,BLR,2010,108.87335
Belarus,BLR,2011,112.901924
Belarus,BLR,2012,112.82242
Belarus,BLR,2013,117.43352
Belarus,BLR,2014,120.36607
Belarus,BLR,2015,120.669624
Belarus,BLR,2016,120.43151
Belarus,BLR,2017,120.212654
Belarus,BLR,2018,122.569756
Belarus,BLR,2019,123.22981
Belarus,BLR,2020,125.164734
Belarus,BLR,2021,127.11732
Belarus,BLR,2022,128.315
Belarus,BLR,2023,128.97917
Belarus,BLR,2024,131.12302
Europe and Central Asia (WB),WB_ECA,1980,0.0030000084
Europe and Central Asia (WB),WB_ECA,1981,0.006386481
Europe and Central Asia (WB),WB_ECA,1982,0.010013844
Europe and Central Asia (WB),WB_ECA,1983,0.015550997
Europe and Central Asia (WB),WB_ECA,1984,0.023952475
Europe and Central Asia (WB),WB_ECA,1985,0.04190231
Europe and Central Asia (WB),WB_ECA,1986,0.06882406
Europe and Central Asia (WB),WB_ECA,1987,0.11644895
Europe and Central Asia (WB),WB_ECA,1988,0.19207953
Europe and Central Asia (WB),WB_ECA,1989,0.30154347
Europe and Central Asia (WB),WB_ECA,1990,0.4152862
Europe and Central Asia (WB),WB_ECA,1991,0.5650371
Europe and Central Asia (WB),WB_ECA,1992,0.7450369
Europe and Central Asia (WB),WB_ECA,1993,1.1039242
Europe and Central Asia (WB),WB_ECA,1994,1.796089
Europe and Central Asia (WB),WB_ECA,1995,2.8480241
Europe and Central Asia (WB),WB_ECA,1996,4.4803476
Europe and Central Asia (WB),WB_ECA,1997,7.188575
Europe and Central Asia (WB),WB_ECA,1998,12.277756
Europe and Central Asia (WB),WB_ECA,1999,21.331846
Europe and Central Asia (WB),WB_ECA,2000,34.14269
Europe and Central Asia (WB),WB_ECA,2001,42.03458
Europe and Central Asia (WB),WB_ECA,2002,47.700405
Europe and Central Asia (WB),WB_ECA,2003,55.198277
Europe and Central Asia (WB),WB_ECA,2004,66.286385
Europe and Central Asia (WB),WB_ECA,2005,81.21019
Europe and Central Asia (WB),WB_ECA,2006,94.77285
