"Question","X1","X23","X51","X33","X55","X68","X8","X18","X32","X56","X43","X42","X65","X57","X37","X46","X39","X17","X22","X61","X19","X30","X15","X53","X54","X38","X35","X31","X49","X75","X74","X24","X10","X2","X13","X64","X25","X7","X59","X60","X6","X36","X58","X11","X62","X52","X73","X50","X71","X12","X29","X67","X3","X66","X47","X44","X20","X5","X16","X9","X41","X63","X26","X40","X48","X34","X4","X21","X27","X14","X72","X69","X28","X45","X70"
"Was this course delivered wholly or partially via distance?","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3","3","3","3","1","3","3","3","3","3","3","1","3","3","3","3","1","1","3","3","3","3","3","1"
"How successful was the course overall, given the challenges of converting to distance delivery?",,,"İt was successful",,,,,,,,"good",,,,,,,,,"Fully successful ",,,,,,,,,,,,,,,"Very successful ",,,,,,,,,,,,,,,,,,,,,"not best class but good enough to learn and understand hard topics",,,,,,,,,,,,,,,,,,,"well"
"Please share any short tips from your experience on ways to optimize distance courses.",,,"No",,,,,,,,"no tips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"well"
"What percentage of the lectures and exercise sessions for this course did you attend?"," 90"," 90","100","100","100","100","100"," 90","100","100","100","100","  0","100"," 80"," 90","100"," 90"," 70"," 90","100"," 90","100","100","100"," 50","100"," 90"," 80"," 90"," 70"," 90","100","100"," 90"," 90"," 90"," 90"," 90"," 80"," 90","100"," 80"," 80"," 80"," 90"," 70"," 90"," 80"," 90"," 80"," 40"," 90"," 90"," 80"," 90","100","  0"," 70","100"," 90","100"," 90"," 50","100","100","100","  0","100","100"," 80"," 90","100"," 90"," 80"
"Compared to your other courses, how demanding was this course?","4","4","4","4","3","3","4","5","5","3","4","4","4","4","3","4","3","4","4","5","4","5","4","4","3","2","4","4","4","5","3","3","4","3","3","3","3","4","4","5","4","4","4","5","5","5","4","4","5","5","4","5","4","3","5","3","4","3","3","5","3","3","4","3","4","4","3","5","4","4","4","3","3","3","4"
"The exercise sessions were:","5","1","4","3","5","4","3","5","4","2","5","4","5","4","4","4","5","5","5","5","5","5","5","4","5","2","1","3","5","5","4","3","5","3","4","5","2","5","5","3","4","5","5","4","5","3","4","4","5","5","4","5","4","5","5","5","4","5","5","5","5","4","3","5","5","5","3","5","3","5","5","4","4","4","4"
"The lectures were:","4","5","3","4","4","5","5","5","5","1","5","4","4","4","4","4","5","5","5","5","5","4","5","4","5","3","5","4","4","4","5","3","5","5","5","5","3","5","5","5","4","4","5","4","5","3","4","4","5","5","5","5","5","5","5","5","4","5","4","5","5","5","1","5","4","5","3","5","5","5","5","3","5","4","4"
"Compared to other courses, this course was linked to real life economics?","3","5","4","5","5","5","4","3","4","3","4","4","5","4","4","4","4","5","4","5","4","3","4","4","5","1","5","5","3","5","5","3","3","5","2","4","3","1","4","5","4","4","4","3","5","2","4","4","5","5","3","5","4","4","5","5","3","4","2","5","5","4","4","3","3","5","4","5","5","3","4","4","5","4","5"
"What is your overall assessment of this course?","4","5","4","3","5","4","5","5","4","3","5","5","4","5","4","4","5","5","4","5","4","4","5","4","5","2","5","4","5","2","5","3","3","5","4","4","3","4","4","5","4","5","3","4","5","3","4","4","5","5","4","4","4","5","5","5","3","5","5","5","5","4","3","3","5","5","4","5","5","5","4","4","5","4","5"
"The teacher was organized and prepared for class:","5","5","4","4","5","4","5","5","5","2","5","4","4","5","4","5","5","5","5","5","5","5","5","4","5","4","5","4","5","5","5","3","4","5","5","5","2","5","5","5","4","4","5","4","5","4","4","4","5","5","5","5","4","5","5","4","4","5","5","5","5","5","3","4","5","5","5","5","5","5","5","4","3","3","5"
"The teacher encouraged active student participation in classes:","4","5","3","4","5","5","5","5","5","3","4","4","4","5","5","4","5","5","5","3","4","5","5","5","5","3","5","4","4","5","5","2","4","5","4","5","4","5","5","5","4","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","4","4","4","5","5","5","2","4","5","5","5","5","4","5","5","5","5","3","5"
"The teacher was available for student questions and concerns:","5","5","3","4","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","4","4","4","5","5","5","2","5","4","5","5","5","3","5","5","3","5","3","5","5","5","4","5","5","5","5","5","4","4","5","5","4","5","5","5","5","5","3","5","4","5","5","4","2","5","4","5","5","5","5","5","5","5","2","4","3"
"The teacher was able to clarify difficult materials:","5","4","3","4","5","4","5","5","5","5","5","4","4","5","4","5","5","5","5","5","5","4","5","5","5","3","4","4","5","5","5","2","4","5","4","5","2","5","5","5","4","5","5","4","5","4","4","4","5","5","5","5","5","5","5","5","3","5","5","5","5","5","2","4","4","5","3","5","4","5","5","5","4","5","4"
